"Account Information","Informação de Acesso"
"Manage Transactions","Gerenciar Transações"
"Max allowed amount to apply is %s","Valor máximo permitido para aplicar é %s"
"Maximum allowed discount to order is %d%%","Desconto máximo permitido para pedido é %d%%"
"Maximum number of emails per launch is %d","Número máximo de emails por lançamento é %d"
"Message can\'t be empty","Mensagem não pode estar vazia"
"Message","Mensagem"
"Message subject","Assunto da mensagem"
"Message text","Texto da mensagem"
"Name","Nome"
"New Rule","Nova Regra"
"New Transaction","Nova Transação"
"No","Não"
"Number Of Referrals","Número de Indicações"
"Password","Senha"
"Percent discount","Percentual de desconto"
"Percent Discount","Percentual de Desconto"
"Purchased Amount","Valor Comprado"
"Purchased Qty","Qtde Comprada"
"Qty Purchased By Referrals","Qtde Comprada pelo Indicado"
"Refer a Friend","Indique um Amigo"
"Referral for %s","Indicado para %s"
"Referred Friends","Amigos Indicados"
"Related Rule","Regra Relacionada"
"Related To Rule","Relacionado a Regra"
"Reset all rule activities","Redefinir todas atividades das regras"
"Rule Details","Detalhes das Regras"
"Rule Id","Id da Regra"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule Priority","Prioridade da Regra"
"Rules","Regras"
"Rule successfully deleted","Regra apagada com sucesso"
"Rule successfully saved","Regra salva com sucesso"
"Rule Target","Alvo da Regra"
"Rule Type","Tipo da Regra"
"Save and Continue Edit","Salvar e Continuar Edição"
"Sending...","Enviando..."
"Separate multiple emails by semicolons","Separar múltiplus emails por ponto e vírgula"
"Share on Delicious","Compartilhar no Delicious"
"Share on Facebook","Compartilhar no Facebook"
"Share on MySpace","Compartilhar no MySpace"
"Share on Twitter","Compartilhar no Twitter"
"Signed up","Assinado"
"Social Share","Compartilhar nas Redes Sociais"
"Some discounts were not added correctly. For more details see exceptions log","Alguns descontos não foram adicionados corretamente. Para mais detalhes veja o registro de exceções"
"Some transactions were not added correctly. For more details see exceptions log","Algumas transações não foram adicionadas corretamente. Para mais detalhes veja o registro de exceções"
"State/Province","Estado"
"Statistics Data","Dados Estatísticos"
"Statistics","Estatísticas"
"Status","Status"
"Rules with greater priority are processed first","Regras com maior prioridade são processadas primeiro"
"Stop Further Rules Processing","Interromper Processamento de Regras"
"Store sign up","Assinatura da loja"
"Store view","Visão da loja"
"Store View","Visão da Loja"
"Subject can\'t be empty","Assunto não pode estar vazio"
"Subject","Assunto"
"Target","Alvo"
"Telephone","Telefone"
"This action is unrecoverable and will reset all rule activities and statistics","Esta ação não pode ser desfeita e irá redefinir todas atividades e estatísticas das regras"
"This customer is already registered.","Este cliente já está registrado."
"Total Amount Purchased By Referrals","Valor Total Comprado pelos Indicados"
"Total Customer Earnings","Ganho Total do Cliente"
"Total Money Spent By Customer","Dinheiro Total Gasto pelo Cliente"
"Transaction Amount","Valor Transação"
"Transaction Details","Detalhe Transação"
"Transaction Information","Informação Transação"
"Transactions Added","Transações Adicionadas"
"Transactions","Transações"
"Transaction successfully saved","Transação salva com sucesso"
"Trigger Count","Contador Gatilho"
"Updated At","Atualizado Em"
"Websites","Websites"
"Website","Website"
"XML","XML"
"yes","sim"
"Yes","Sim"
"You cannot invite yourself.","Você nãoi pode convidar a si mesmo."
"You have no referred friends.","Você não tem amigos indicados."
"ZIP","CEP"
"Сonfirmed","Сonfirmado"
"Friend's email","Email do amigo"
"Actual Balance Amount","Saldo Atual"
"Calculate Purchase Amount As","Calcular Valor Compra como"
"Allow Usage With Coupons","Permitir Uso de Cupons"
"Max discount % to order","% Desconto máixmo para pedido"
"Apply discount if cart total is equal or greater than","Aplicar desconto se o total do carrinho for igual ou maior que"
"Specify amount in base website currency","Especificar valor na moeda do website"
"Minimum discount to be able to redeem","Desconto mínimo para permitir resgate"
"Referral","Indicado"
"Give bonus to referral for registration","Dar bônus ao indicado pelo registro"
"Bonus type","Tipo Bônus"
"Bonus amount","Valor Bônus"
"Invitation","Convite"
"Allow invitation","Permitir convite"
"Email sender","Remetente"
"Select email template","Selecionar modelo de email"
"Redirect to","Redirecionar para"
"Define the page for users to be redirected to after clicking the referred link","Define a página para onde usuários serão redirecionados depois de clicar no link da indicação"
"Please select at least one customer","Por favor selecione ao menos um cliente"
"Refer a Friend","Indique um Amigo"
"Refer A Friend Share Block","Indique um Amigo Compartilhe Bloqueio"
"Adds widget with share buttons","Adiciona ferramenta com botões de compartilhar"
"Widget Title","Título Ferramenta"
"Url Target","Url Alvo"
"Close","Fechar"
"Main Page","Página Principal"
"Current Page","Página Atual"
"Custom Page","Página Personalizada"
"Custom Page Url","Url Página Personalizada"
"Template","Modelo"
"Default Template","Modelo Padrão"
"Edit Discount","Editar Desconto"
"New Discount","Novo Desconto"
"Create Transaction","Criar Transação"
"Discount for referrals' purchase amount","Desconto para indicados' valor de compra (3)"
"aheadWorks - Refer a Friend Invitation","aheadWorks - Convite para Indicar um Amigo"
